id,date,tweet
1322516170432421888,2020-10-31 12:30:00+00:00,"We need to look at our cities with a contemplative gaze, a gaze of faith which sees God dwelling in homes, on the streets and squares. This presence must be found, discovered. God does not hide himself from those who seek him with a sincere heart. #WorldCitiesDay"
1322153780452892673,2020-10-30 12:30:00+00:00,"Jesus challenges us to put aside all differences and, in the face of suffering, to draw near to others with no questions asked. #FratelliTutti"
1321791394432847873,2020-10-29 12:30:00+00:00,"I am close to the Catholic community of #Nice, mourning the attack that sowed death in a place of prayer and consolation. I pray for the victims, for their families and for the beloved French people, that they may respond to evil with good."
1321429006047084545,2020-10-28 12:30:00+00:00,"I unite myself to the pain of the families of the students barbarically killed in #Kumba, #Cameroon. May God enlighten hearts, so that similar acts may never be repeated! I send my affection to the families and all Cameroon, and I invoke the comfort that only God can give."
1321413905185443840,2020-10-28 11:30:00+00:00,"“You are my beloved Son; with you I am well pleased” (Lk 3:22). This simple phrase enables us to intuit something of the mystery of Jesus and of His heart, always turned to the Father. Jesus gave us His own #Prayer, which is His loving dialogue with the Father. #GeneralAudience"
1321066619129393152,2020-10-27 12:30:00+00:00,"Those who love may be sure that none of their acts of love will be lost, nor any of their acts of sincere concern for others, nor any single act of love for God, nor any generous effort, nor any painful endurance. All of these enfold our world like a vital force. #FratelliTutti"
1320704228768292871,2020-10-26 12:30:00+00:00,"Kindness frees us from the cruelty that at times infects human relationships, from the anxiety that prevents us from thinking of others, from the frantic flurry of activity that forgets that others also have a right to be happy. #FratelliTutti"
1320336634928336896,2020-10-25 12:09:19+00:00,"Let us pray to the Lord for Nigeria, so that every form of violence might always be avoided, in the constant search of social harmony through the promotion of justice and the common good."
1320326743106834432,2020-10-25 11:30:00+00:00,"What is not expressed in love of neighbour is not true love of God; and, likewise, what is not drawn from one's relationship with God is not true love of neighbour. #GospelOfTheDay (Mt 22:34-40)"
1319964355023306752,2020-10-24 11:30:00+00:00,"If we want true integral human development for all, war must be avoided, ensuring the rule of law and tireless recourse to negotiation and arbitration. The United Nation ’s Charter applies transparently and sincerely, and is an reference point of justice and a peace. #UNDay"
1319601967895773184,2020-10-23 11:30:00+00:00,"Life without fraternal gratuitousness becomes a form of frenetic commerce, constantly weighing what we give and what we get back. God, instead, gives freely, helping even those who are unfaithful; he “makes his sun rise on the evil and on the good” (Mt 5:45). #FratelliTutti"
1319233286548320259,2020-10-22 11:05:00+00:00,"St #JohnPaulII and his passion for life and fascination with the mystery of God, of the world and of humankind was an extraordinary gift of God to the Church. Let us remember his faith: may it be an example to lives as witnesses today."
1319232030039707649,2020-10-22 11:00:00+00:00,"So often today man does not know what is within him, in the depths of his mind and heart.... Therefore, let Christ speak to man. He alone has words of life, of eternal life. #StJohnPaulII"
1318877190918909952,2020-10-21 11:30:00+00:00,"Prayer is the centre of life. If there is prayer, even a brother, a sister, becomes important. Those who adore God, love His children. Those who respect God, respect human beings. #GeneralAudience"
1318600612766953473,2020-10-20 17:10:59+00:00,"To all believers, and to men and women of good will, we say: let us become creative artisans of peace, let us build social friendship, let us make our own the culture of dialogue. #Peaceandfraternity https://t.co/BZ8MiOUZXI"
1318599377187971080,2020-10-20 17:06:04+00:00,"“Enough!” says Jesus (Lk 22:38), when his disciples produce two swords before the Passion. “Enough!” That single word of Jesus echoes through the centuries and reaches us forcefully in our own time: enough of swords, weapons, violence and war!"
1318569150885842945,2020-10-20 15:05:58+00:00,"The “gospel” of save yourself is not the Gospel of salvation. It is the falsest of the apocryphal gospels, making others carry the cross. Whereas the true Gospel bids us take up the cross of others. #Peaceandfraternity"
1318555067515957248,2020-10-20 14:10:00+00:00,"Our present gathering represents an incentive to religious leaders and to all believers to pray fervently for peace, never resigned to war, but working with the gentle strength of faith to end conflicts. #Peaceandfraternity https://t.co/t70L2MRihi"
1318137314263130112,2020-10-19 10:30:00+00:00,"I invite you again to take the #Rosary and lift up your gaze to Our Lady, sign of consolation and sure hope. One million children around the world are doing this today, as they pray for unity and peace. #ChildrenPraying"
1317790026684485637,2020-10-18 11:30:00+00:00,"Belonging to Christ, and the resulting way of life, do not isolate the believer from the world, but rather make him or her the protagonist in a service of love for the common good."
1317759827129602049,2020-10-18 09:30:00+00:00,"The mission, the ‘Church on the move’, is not a programme to be carried out by sheer force of will. It is Christ who makes the Church go out of herself. In the mission of evangelization, you move because the Holy Spirit pushes you, and carries you. #WorldMissionDay"
1317744727534587905,2020-10-18 08:30:00+00:00,"Today and tomorrow, one million children around the world pray the Rosary. May we confidently recite the #Rosary every day. It is a weapon that protects us from evil and temptation. #ChildrenPraying"
1317397439511318528,2020-10-17 09:30:00+00:00,"We need to develop the awareness that nowadays we are either all saved together or no one is saved. #Poverty, decadence and suffering in one part of the earth are a breeding ground for problems that will end up affecting the entire planet. #FratelliTutti #EndPoverty"
1317090416617951232,2020-10-16 13:10:00+00:00,A courageous decision? Using the money spent on weapons for a “global Fund” to defeat hunger. This would help avoid many wars and the emigration of many of our brothers and sisters from the poorest nations.
1317087906519973889,2020-10-16 13:00:01+00:00,"Hunger is not only a tragedy for humanity, it is shameful. Faced with this reality, we cannot remain insensitive or paralyzed. We are all responsible. #WorldHungerDay"
1316746780969664512,2020-10-15 14:24:31+00:00,Education bears within itself a seed of hope: the hope of peace and justice; the hope of beauty and goodness; the hope of social harmony. #GlobalCompactOnEducation https://t.co/12UM7BZOgp
1316736836648071170,2020-10-15 13:45:00+00:00,"It is time to subscribe to a global pact on education for and with future generations. This requires commitment from families, communities, schools, universities, institutions, religions, governments, and the human family to train mature men and women. #GlobalCompactOnEducation"
1316734037273317376,2020-10-15 13:33:52+00:00,"Today we recall Saint #TeresaOfJesus, master of #prayer. She teaches us that prayer is an expression of friendship with God who always loves us. With God nothing can disturb or frighten us, because ""God alone suffices."""
1316340474857259010,2020-10-14 11:30:00+00:00,"In #Prayer, we place our worries and petitions in the hands of God, and we trust that He will listen, for He knows what we need and will give us what is good for us. #GeneralAudience"
1315992542140301313,2020-10-13 12:27:26+00:00,"Tenderness is love that draws near and becomes real. A movement that starts from our heart and reaches the eyes, the ears and the hands. Tenderness is the path of choice for the strongest, most courageous men and women. #FratelliTutti"
1315615700690427905,2020-10-12 11:30:00+00:00,"The witness of Blessed Carlo Acutis indicates to today's young people that true happiness is found by putting God in first place and serving Him in our brothers and sisters, especially the least."
1315285958762389508,2020-10-11 13:39:44+00:00,"I am near to those people affected by wildfires: on the West Coast of the United States, especially California, the central regions of South America, the Pantanal area, Paraguay, the banks of the Paraná River, and Argentina. May the Lord sustain them."
1315245766789783552,2020-10-11 11:00:01+00:00,"It is not enough to accept the invitation to follow the Lord; one must be open to a journey of conversion, which changes the heart. The garment of mercy, which God offers us unceasingly, is the free gift of his love; it is grace. # GospelOfTheDay"
1315223113307615233,2020-10-11 09:30:00+00:00,"Appearances notwithstanding, every person is immensely holy and deserves our love. Consequently, if I can help at least one person to have a better life, that already justifies the offering of my life. #FratelliTutti"
1315215568186736640,2020-10-11 09:00:01+00:00,We achieve fulfilment when we break down walls and our hearts are filled with faces and names.  #FratelliTutti
1314898480196997122,2020-10-10 12:00:01+00:00,"Every person has the right to live with dignity and to develop him or herself completely, even if they were born with or grew up with limitations. For the immense dignity of the human person is not based on circumstances but on the intrinsic worth of their being. #FratelliTutti"
1314883373937106944,2020-10-10 11:00:00+00:00,"All Christians and people of good will are today called to work not only for the abolition of the death penalty in all its forms, but also to work for the improvement of prison conditions, out of respect for the human dignity of persons deprived of their freedom."
1314536094818537478,2020-10-09 12:00:02+00:00,"Our love for others, for who they are, moves us to seek the best for their lives. Only by cultivating this way of relating to one another will we make possible a social friendship that excludes no one and a fraternity that is open to all. #FratelliTutti"
1314520992270622721,2020-10-09 11:00:01+00:00,"All of us, as believers, need to recognize that love takes first place: love must never be put at risk, and the greatest danger lies in failing to love (cf. 1 Cor 13:1-13). #FratelliTutti"
1314215221247045633,2020-10-08 14:45:00+00:00,https://t.co/7voH7bULco
1314173698081947648,2020-10-08 12:00:00+00:00,"The process of building fraternity, be it local or universal, can only be undertaken by spirits that are free and open to authentic encounters. #FratelliTutti"
1314158599661219840,2020-10-08 11:00:00+00:00,"Belief in God, and the worship of God are not enough to ensure that we actually live in a way pleasing to God. The guarantee of an authentic openness to God is a way of practising the faith that helps open our hearts to our brothers and sisters. #FratelliTutti"
1313818859229470720,2020-10-07 12:30:00+00:00,"The journey of fraternity has a Mother. In the power of the risen Lord, she wants to give birth to a new world, where all of us are brothers and sisters, where there is room for all our societies discard, where justice and peace are resplendent. #OurLadyOfTheRosary #FratelliTutti"
1313811311076225026,2020-10-07 12:00:00+00:00,"As believers, we are convinced that, without an openness to the Father of all, there will be no solid and stable reasons for an appeal to fraternity. #FratelliTutti"
1313796215864266753,2020-10-07 11:00:01+00:00,The proof of #prayer is real love for our neighbour. #GeneralAudience
1313448928684249089,2020-10-06 12:00:01+00:00,"Let us dream, as a single human family, as fellow travelers sharing the same flesh, as children of the same earth which is our common home, each of us bringing the richness of his or her beliefs and convictions, each of us with his or her own voice, brothers and sisters all."
1313433829793771521,2020-10-06 11:00:02+00:00,"It is my desire that, in this our time, by acknowledging the dignity of each human person, we can contribute to the rebirth of a universal aspiration to fraternity. #FratelliTutti"
1313086536855027716,2020-10-05 12:00:01+00:00,"We cannot be indifferent to suffering; we cannot allow anyone to go through life as an outcast. Instead,we should feel indignant,challenged to emerge from our comfortable isolation and to be changed by our contact with human suffering.That is the meaning of dignity #FratelliTutti"
1313071434055393281,2020-10-05 11:00:00+00:00,"By his actions, the Good Samaritan showed that the existence of each and every individual is deeply tied to that of others: life is not simply time that passes; life is a time for interactions. #FratelliTutti"
1312746796125356034,2020-10-04 13:30:00+00:00,To care for the world in which we live means to care for ourselves. Yet we need to think of ourselves more and more as a single family dwelling in a common home. #SeasonOfCreation #FratelliTutti
1312724147747737602,2020-10-04 12:00:00+00:00,"#SaintFrancisofAssisi, this saint of fraternal love, simplicity and joy, who inspired me to write the Encyclical Laudato Si’, prompts me once more to devote this new Encyclical to fraternity and social friendship. #FratelliTutti"
1312701497117872130,2020-10-04 10:30:00+00:00,Encyclical #FratelliTutti  https://t.co/c89aZACfGa https://t.co/TRJktiKntO
1312690171947573248,2020-10-04 09:45:00+00:00,"The parable of the murderous vinedressers (Mt 21:33-43) is an admonition for all times, including our own. The vineyard is the Lord's, not ours. And God awaits the fruit of His vineyard from those He has sent to work in it. #GospelOfTheDay"
1312656198311706624,2020-10-04 07:30:00+00:00,"#SaintFrancisofAssisi, faithful to Scripture, invites us to see nature as a magnificent book in which God speaks to us and grants us a glimpse of his infinite beauty and goodness. #SeasonOfCreation"
